,support,itemsets
0,0.01230377598642342,frozenset({'100% Raw Coconut Water'})
1,0.01845566397963513,frozenset({'100% Whole Wheat Bread'})
2,0.012409843020789138,frozenset({'2% Reduced Fat Milk'})
3,0.026516758591429785,frozenset({'Apple Honeycrisp Organic'})
4,0.019092066185829443,frozenset({'Asparagus'})
5,0.12059821807382265,frozenset({'Bag of Organic Bananas'})
6,0.1491302503182011,frozenset({'Banana'})
7,0.011455239711497667,frozenset({'Bartlett Pears'})
8,0.018031395842172254,frozenset({'Blueberries'})
9,0.016440390326686465,frozenset({'Boneless Skinless Chicken Breasts'})
10,0.011667373780229105,frozenset({'Broccoli Crown'})
11,0.013788714467543487,frozenset({'Bunched Cilantro'})
12,0.02100127280441239,frozenset({'Carrots'})
13,0.011879507848960543,"frozenset({'Clementines, Bag'})"
14,0.02810776410691557,frozenset({'Cucumber Kirby'})
15,0.014955451845566398,frozenset({'Extra Virgin Olive Oil'})
16,0.02110733983877811,frozenset({'Fresh Cauliflower'})
17,0.010076368264743318,frozenset({'Frozen Organic Wild Blueberries'})
18,0.011455239711497667,frozenset({'Garlic'})
19,0.011243105642766229,frozenset({'Granny Smith Apples'})
20,0.015485787017394994,frozenset({'Grated Parmesan'})
21,0.015697921086126432,frozenset({'Green Bell Pepper'})
22,0.020683071701315232,frozenset({'Half & Half'})
23,0.016440390326686465,frozenset({'Hass Avocados'})
24,0.026410691557064065,frozenset({'Honeycrisp Apple'})
25,0.010606703436571913,frozenset({'Italian Sparkling Mineral Water'})
26,0.011137038608400509,frozenset({'Jalapeno Peppers'})
27,0.012621977089520576,frozenset({'Large Alfresco Eggs'})
28,0.04571489181162495,frozenset({'Large Lemon'})
29,0.01591005515485787,frozenset({'Lime Sparkling Water'})
30,0.041047942299533305,frozenset({'Limes'})
31,0.020046669495120916,frozenset({'Michigan Organic Kale'})
32,0.013258379295714893,frozenset({'Orange Bell Pepper'})
33,0.05557912600763683,frozenset({'Organic Avocado'})
34,0.023440814594823927,frozenset({'Organic Baby Arugula'})
35,0.010500636402206194,frozenset({'Organic Baby Broccoli'})
36,0.02301654645736105,frozenset({'Organic Baby Carrots'})
37,0.07276198557488332,frozenset({'Organic Baby Spinach'})
38,0.011773440814594823,frozenset({'Organic Bartlett Pear'})
39,0.011561306745863385,frozenset({'Organic Black Beans'})
40,0.019198133220195163,frozenset({'Organic Blackberries'})
41,0.027577428935086974,frozenset({'Organic Blueberries'})
42,0.011561306745863385,frozenset({'Organic Broccoli'})
43,0.010500636402206194,frozenset({'Organic Broccoli Florets'})
44,0.020364870598218072,frozenset({'Organic Cilantro'})
45,0.024289350869749683,frozenset({'Organic Cucumber'})
46,0.015167585914297836,"frozenset({""Organic D'Anjou Pears""})"
47,0.010076368264743318,frozenset({'Organic Extra Firm Tofu'})
48,0.02821383114128129,frozenset({'Organic Fuji Apple'})
49,0.022486211285532458,frozenset({'Organic Gala Apples'})
50,0.03362324989393296,frozenset({'Organic Garlic'})
51,0.018561731014000847,frozenset({'Organic Garnet Sweet Potato (Yam)'})
52,0.015061518879932118,frozenset({'Organic Ginger Root'})
53,0.011773440814594823,frozenset({'Organic Grade A Free Range Large Brown Eggs'})
54,0.01834959694526941,frozenset({'Organic Granny Smith Apple'})
55,0.027259227831989818,frozenset({'Organic Grape Tomatoes'})
56,0.024819686041578276,frozenset({'Organic Half & Half'})
57,0.0648069579974544,frozenset({'Organic Hass Avocado'})
58,0.01845566397963513,frozenset({'Organic Italian Parsley Bunch'})
59,0.013152312261349173,frozenset({'Organic Kiwi'})
60,0.012940178192617734,frozenset({'Organic Lacinato (Dinosaur) Kale'})
61,0.0121977089520577,frozenset({'Organic Large Brown Grade AA Cage Free Eggs'})
62,0.022486211285532458,frozenset({'Organic Large Extra Fancy Fuji Apple'})
63,0.027683495969452694,frozenset({'Organic Lemon'})
64,0.011455239711497667,frozenset({'Organic Navel Orange'})
65,0.015803988120492152,frozenset({'Organic Peeled Whole Baby Carrots'})
66,0.04306321595248197,frozenset({'Organic Raspberries'})
67,0.019092066185829443,frozenset({'Organic Red Bell Pepper'})
68,0.017713194739075094,frozenset({'Organic Red Onion'})
69,0.014106915570640645,frozenset({'Organic Reduced Fat 2% Milk'})
70,0.011773440814594823,frozenset({'Organic Romaine Lettuce'})
71,0.02100127280441239,frozenset({'Organic Small Bunch Celery'})
72,0.07933814170555792,frozenset({'Organic Strawberries'})
73,0.019410267288926603,frozenset({'Organic Tomato Cluster'})
74,0.015379719983029274,frozenset({'Organic Unsweetened Almond Milk'})
75,0.03850233347475605,frozenset({'Organic Whole Milk'})
76,0.010818837505303353,frozenset({'Organic Whole Strawberries'})
77,0.021425540941875265,frozenset({'Organic Whole String Cheese'})
78,0.03669919389053882,frozenset({'Organic Yellow Onion'})
79,0.02927450148493848,frozenset({'Organic Zucchini'})
80,0.022486211285532458,frozenset({'Original Hummus'})
81,0.015803988120492152,frozenset({'Raspberries'})
82,0.013258379295714893,frozenset({'Red Onion'})
83,0.017394993635977938,frozenset({'Red Peppers'})
84,0.015485787017394994,frozenset({'Red Vine Tomato'})
85,0.011561306745863385,frozenset({'Roma Tomato'})
86,0.022274077216801018,frozenset({'Seedless Red Grapes'})
87,0.01092490453966907,frozenset({'Shredded Parmesan'})
88,0.015167585914297836,frozenset({'Small Hass Avocado'})
89,0.011667373780229105,frozenset({'Soda'})
90,0.012728044123886296,frozenset({'Sparkling Natural Mineral Water'})
91,0.023971149766652523,frozenset({'Sparkling Water Grapefruit'})
92,0.01824352991090369,frozenset({'Spring Water'})
93,0.04560882477725923,frozenset({'Strawberries'})
94,0.013152312261349173,frozenset({'Uncured Genoa Salami'})
95,0.010394569367840474,frozenset({'Unsalted Butter'})
96,0.013894781501909207,frozenset({'Unsweetened Almondmilk'})
97,0.012834111158252016,frozenset({'Unsweetened Original Almond Breeze Almond Milk'})
98,0.010076368264743318,frozenset({'Whipped Cream Cheese'})
99,0.010818837505303353,frozenset({'Whole Milk'})
100,0.02110733983877811,frozenset({'Yellow Onions'})
101,0.015803988120492152,"frozenset({'Organic Baby Spinach', 'Bag of Organic Bananas'})"
102,0.019304200254560883,"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})"
103,0.012940178192617734,"frozenset({'Organic Raspberries', 'Bag of Organic Bananas'})"
104,0.0171828595672465,"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})"
105,0.010182435299109036,"frozenset({'Honeycrisp Apple', 'Banana'})"
106,0.015591854051760713,"frozenset({'Organic Avocado', 'Banana'})"
107,0.014849384811200678,"frozenset({'Organic Baby Spinach', 'Banana'})"
108,0.010394569367840474,"frozenset({'Banana', 'Organic Fuji Apple'})"
109,0.011243105642766229,"frozenset({'Banana', 'Organic Hass Avocado'})"
110,0.018561731014000847,"frozenset({'Banana', 'Organic Strawberries'})"
111,0.013576580398812049,"frozenset({'Banana', 'Strawberries'})"
112,0.012515910055154858,"frozenset({'Organic Baby Spinach', 'Organic Strawberries'})"
113,0.011773440814594823,"frozenset({'Organic Hass Avocado', 'Organic Strawberries'})"
114,0.010076368264743318,"frozenset({'Organic Raspberries', 'Organic Strawberries'})"
